mA,old_threshold,new_threshold,threshold_diff,old_signal_eff,new_signal_eff,signal_eff_ratio,old_bkg_yield,new_bkg_yield,bkg_yield_ratio,warning_flag
1,0.955,0.92,-0.03499999999999992,0.492,0.336,0.6829268292682927,83.195,307.845,3.7002824688983718,background_yield_gt_2x_reference;signal_eff_lt_0p8_reference
2,0.98,0.965,-0.015000000000000013,0.669,0.511,0.7638266068759342,26.373,90.45,3.4296439540439083,background_yield_gt_2x_reference;signal_eff_lt_0p8_reference
3,0.985,0.975,-0.010000000000000009,0.763,0.591,0.7745740498034076,7.888,28.033,3.553879310344828,background_yield_gt_2x_reference;signal_eff_lt_0p8_reference
4,0.98,0.975,-0.0050000000000000044,0.842,0.674,0.8004750593824229,5.062,23.586,4.65942315290399,background_yield_gt_2x_reference
5,0.985,0.985,0.0,0.849,0.65,0.7656065959952886,5.123,17.943,3.502439976576225,background_yield_gt_2x_reference;signal_eff_lt_0p8_reference
6,0.99,0.985,-0.0050000000000000044,0.817,0.711,0.8702570379436965,2.494,26.077,10.45589414595028,background_yield_gt_2x_reference
7,0.985,0.99,0.0050000000000000044,0.86,0.645,0.75,5.264,18.693,3.5511018237082066,background_yield_gt_2x_reference;signal_eff_lt_0p8_reference
8,0.99,0.99,0.0,0.799,0.648,0.8110137672090112,11.402,18.61,1.6321697947728468,
9,0.99,0.99,0.0,0.784,0.643,0.8201530612244898,15.526,20.952,1.349478294473786,
10,0.99,0.99,0.0,0.771,0.642,0.8326848249027238,10.795,21.75,2.014821676702177,background_yield_gt_2x_reference
15,0.99,0.99,0.0,0.701,0.572,0.8159771754636234,13.445,37.356,2.7784306433618444,background_yield_gt_2x_reference
20,0.99,0.985,-0.0050000000000000044,0.626,0.578,0.9233226837060702,18.443,80.128,4.344629398687848,background_yield_gt_2x_reference
25,0.985,0.985,0.0,0.644,0.489,0.7593167701863354,36.615,113.778,3.1074149938549773,background_yield_gt_2x_reference;signal_eff_lt_0p8_reference
30,0.98,0.98,0.0,0.674,0.503,0.7462908011869436,43.64,191.503,4.388244729605866,background_yield_gt_2x_reference;signal_eff_lt_0p8_reference
